,name,id,align,eye,hair,sex,gsm,appearances,first_appearance,year,publisher
11100,Scaleface (Earth-616),Secret Identity,Neutral,Brown,Blue,Female,,7.0,1986-12-01,1986.0,marvel
11101,Yrdisis (Earth-616),Secret Identity,Good,,Black,Female,,7.0,1986-02-01,1986.0,marvel
11102,Don (Lobster) (Earth-616),,Good,Blue,No,Male,,7.0,1987-05-01,1987.0,marvel
11103,Kylor (Earth-616),Public Identity,,Red,No,Male,,7.0,1987-10-01,1987.0,marvel
11104,Sedrick (Earth-616),Public Identity,,Yellow,Orange,Male,,7.0,1987-05-01,1987.0,marvel
11105,Trump (Earth-616),Secret Identity,Neutral,,Brown,Male,,7.0,1987-11-01,1987.0,marvel
11106,William Nowlan (Earth-616),Secret Identity,Bad,,Black,Male,,7.0,1987-11-01,1987.0,marvel
11107,Alphonso Mackenzie (Earth-616),,Good,Blue,Grey,Male,,7.0,1988-08-01,1988.0,marvel
11108,Anne-Marie Baker (Earth-616),No Dual Identity,Good,Blue,Black,Female,,7.0,1988-12-01,1988.0,marvel
11109,Eochaid Ollathir (Earth-616),Public Identity,Good,Blue,Red,Male,,7.0,1988-12-01,1988.0,marvel
11110,Roland Rayburn (Earth-616),Public Identity,Bad,Blue,Blond,Male,,7.0,1988-02-01,1988.0,marvel
11111,Spyder (Earth-616),Secret Identity,Bad,Red,Blue,Male,,7.0,1988-08-01,1988.0,marvel
11112,Gayle Vaughn (Earth-616),Public Identity,Good,,Brown,Female,,7.0,1989-11-01,1989.0,marvel
11113,Kevin Brackett (Earth-616),Secret Identity,Bad,,,Male,,7.0,1989-11-01,1989.0,marvel
11114,Lev (Earth-616),,,,Blond,Female,,7.0,1989-08-01,1989.0,marvel
11115,Paul Harker (Earth-616),Public Identity,Neutral,,Grey,Male,,7.0,1989-08-01,1989.0,marvel
11116,Rich van Burian (Earth-616),Public Identity,Bad,Blue,Blond,Male,,7.0,1989-03-01,1989.0,marvel
11117,Sequoia (Earth-616),Secret Identity,Good,Green,Green,Male,,7.0,1989-04-01,1989.0,marvel
11118,Arko (Earth-616),No Dual Identity,Good,,,Male,,7.0,1990-09-01,1990.0,marvel
11119,Bercilak de Hautdesert (Earth-616),Secret Identity,Good,Green,Green,Male,,7.0,1990-12-01,1990.0,marvel
11120,Harlan Ryker (Earth-616),,Bad,Brown,Brown,Male,,7.0,1990-11-01,1990.0,marvel
11121,Harmon Furmintz (Earth-616),Public Identity,Good,Blue,White,Male,,7.0,1990-08-01,1990.0,marvel
11122,Jupiter (New Warriors) (Earth-616),Public Identity,Good,Blue,Red,Female,,7.0,1990-09-01,1990.0,marvel
11123,Kristina Anderson (Earth-616),Secret Identity,Bad,Pink,Pink,Female,,7.0,1990-02-01,1990.0,marvel
11124,L.D. 50 (Earth-616),Secret Identity,Bad,,Black,Male,,7.0,1990-11-01,1990.0,marvel
11125,Maker (Earth-616),Secret Identity,Neutral,,,Female,,7.0,1990-07-01,1990.0,marvel
11126,Samuel Higgins (Earth-616),Public Identity,Bad,,Grey,Male,,7.0,1990-08-01,1990.0,marvel
11127,Yuji Watanabe (Earth-616),No Dual Identity,Good,,Grey,Male,,7.0,1990-12-01,1990.0,marvel
11128,Andrea Haggard (Earth-616),Secret Identity,Bad,,,Female,,7.0,1991-09-01,1991.0,marvel
11129,Fool (Earth-616),Secret Identity,Bad,White,No,Male,,7.0,1991-07-01,1991.0,marvel
11130,Guillaume Courage (Earth-616),Secret Identity,Bad,Red,Black,Male,,7.0,1991-09-01,1991.0,marvel
11131,Hector Fuentes (Earth-616),Public Identity,Bad,,Black,Male,,7.0,1991-12-01,1991.0,marvel
11132,Kkallakku (Earth-616),Secret Identity,Bad,,,Male,,7.0,1991-07-01,1991.0,marvel
11133,Monkey Joe (Earth-616),Public Identity,Good,Black,Brown,Male,,7.0,1991-12-01,1991.0,marvel
11134,Rambo (Dog) (Earth-616),No Dual Identity,Good,,,Male,,7.0,1991-06-01,1991.0,marvel
11135,Ray Morgan (Earth-616),,Bad,,Brown,Male,,7.0,1991-12-01,1991.0,marvel
11136,Splice (Mercenary) (Earth-616),Secret Identity,Bad,Blue,Brown,Male,,7.0,1991-12-01,1991.0,marvel
11137,Thane Ector (Earth-616),Public Identity,Bad,,Brown,Male,,7.0,1991-07-01,1991.0,marvel
11138,Vyrra (Earth-616),Public Identity,Bad,Blue,Grey,Male,,7.0,1991-10-01,1991.0,marvel
11139,Willis Hayworth (Earth-616),Public Identity,Bad,,Black,Male,,7.0,1991-12-01,1991.0,marvel
11140,Anastasia Sablinova (Earth-616),No Dual Identity,Good,,Blond,Female,,7.0,1992-06-01,1992.0,marvel
11141,Angela Cairn (Earth-616),Secret Identity,Good,White,Blond,Female,,7.0,1992-07-01,1992.0,marvel
11142,Anthony Stark (Doppelganger) (Earth-616),Secret Identity,Bad,Red,No,Male,,7.0,1992-06-01,1992.0,marvel
11143,Clement Wilson (Earth-616),Public Identity,Neutral,Blue,Pink,Male,,7.0,1992-02-01,1992.0,marvel
11144,Guide (Earth-616),Secret Identity,Good,,,Male,,7.0,1992-08-01,1992.0,marvel
11145,James Burley (Earth-616),Secret Identity,Neutral,,Black,Male,,7.0,1992-09-01,1992.0,marvel
11146,"James Lucas, Jr. (Earth-616)",Secret Identity,Bad,Brown,Bald,Male,,7.0,1992-06-01,1992.0,marvel
11147,Jonathan Lee (Earth-616),Public Identity,Bad,,Black,Male,,7.0,1992-07-01,1992.0,marvel
11148,Julien Boudreaux (Earth-616),Secret Identity,Bad,Blue,Blond,Male,,7.0,1992-06-01,1992.0,marvel
11149,Jutta (Earth-616),,Bad,,,Female,,7.0,1992-04-01,1992.0,marvel
11150,Leon McKenzie (Earth-616),Secret Identity,Bad,,Black,Male,,7.0,1992-06-01,1992.0,marvel
11151,Prodigal (Earth-616),Secret Identity,Neutral,,,Male,,7.0,1992-08-01,1992.0,marvel
11152,Rachel Argosy (Earth-616),Public Identity,Neutral,Blue,Blue,Female,,7.0,1992-06-01,1992.0,marvel
11153,S.H.I.V.A. (Earth-616),,,Red,No,,,7.0,1992-01-01,1992.0,marvel
11154,Salvatore Carbone (Earth-616),,Bad,,Black,Male,,7.0,1992-03-01,1992.0,marvel
11155,Albert Louis (Earth-616),Secret Identity,Good,,Brown,Male,,7.0,1993-03-01,1993.0,marvel
11156,Battletide (Earth-616),Secret Identity,Bad,Red,No,,,7.0,1993-01-01,1993.0,marvel
11157,Bernard Hoyster (Earth-616),Secret Identity,Neutral,Blue,Black,Male,,7.0,1993-05-01,1993.0,marvel
11158,Embyrre (Earth-616),,Good,Black,Bald,Female,,7.0,1993-12-01,1993.0,marvel
11159,Fabrikant (Earth-616),Secret Identity,,,,Male,,7.0,1993-12-01,1993.0,marvel
11160,Kona Lor (Earth-616),Public Identity,Bad,,Red,Female,,7.0,1993-07-01,1993.0,marvel
11161,Luther Manning (Earth-616),,Good,,,Male,,7.0,1993-11-01,1993.0,marvel
11162,Outcast (Lilin) (Earth-616),Secret Identity,Bad,White,Brown,Male,,7.0,1993-09-01,1993.0,marvel
11163,Sarah Wilde (Earth-616),,Good,,,Female,,7.0,1993-04-01,1993.0,marvel
11164,Suma-Ket (Earth-616),,Bad,,Grey,Male,,7.0,1993-03-01,1993.0,marvel
11165,Tamika Bowden (Earth-616),Secret Identity,Good,Brown,Black,Female,,7.0,1993-06-01,1993.0,marvel
11166,Tithe Collector (Earth-616),,Bad,,,Male,,7.0,1993-12-01,1993.0,marvel
11167,Bartholomew Gallows (Earth-616),Secret Identity,Neutral,Green,Red,Male,,7.0,1994-06-01,1994.0,marvel
11168,Billy Kitson (Earth-616),Secret Identity,Bad,Brown,Black,Male,,7.0,1994-10-01,1994.0,marvel
11169,Bitmap (Earth-616),Secret Identity,Bad,,No,Male,,7.0,1994-03-01,1994.0,marvel
11170,Infomorph (Earth-616),Secret Identity,Bad,,,Female,,7.0,1994-03-01,1994.0,marvel
11171,John Carik (Earth-616),Public Identity,Good,Blue,Blond,Male,,7.0,1994-07-01,1994.0,marvel
11172,John Sharpe (Earth-616),Secret Identity,Bad,,Brown,Male,,7.0,1994-12-01,1994.0,marvel
11173,Rebecca Taylor (Earth-616),Public Identity,Good,,Red,Female,,7.0,1994-04-01,1994.0,marvel
11174,Steel Collar (Earth-616),Secret Identity,Bad,,No,Male,,7.0,1994-03-01,1994.0,marvel
11175,Wirehead (Earth-616),Secret Identity,Bad,,,Male,,7.0,1994-03-01,1994.0,marvel
11176,Gris Gris (Earth-616),Secret Identity,Neutral,Brown,Black,Male,,7.0,1995-01-01,1995.0,marvel
11177,Malachi (Space Phantom) (Earth-616),Secret Identity,Bad,,Brown,Male,,7.0,1995-11-01,1995.0,marvel
11178,Marcus Fifolet (Earth-616),Secret Identity,Neutral,Black,Brown,Male,,7.0,1995-01-01,1995.0,marvel
11179,Margoyle (Earth-616),Public Identity,,White,Purple,Female,,7.0,1995-03-01,1995.0,marvel
11180,Moonraker (Earth-616),Secret Identity,,White,Black,Male,,7.0,1995-10-01,1995.0,marvel
11181,Rolfe (Earth-616),,,,Brown,Male,,7.0,1995-09-01,1995.0,marvel
11182,Rootar (Earth-616),Public Identity,,,No,Male,,7.0,1995-03-01,1995.0,marvel
11183,Andros (Earth-616),Secret Identity,Bad,,Brown,Male,,7.0,1996-05-01,1996.0,marvel
11184,Bramer (Earth-616),Secret Identity,Bad,,Brown,Male,,7.0,1996-05-01,1996.0,marvel
11185,Choocho Colon (Earth-616),Public Identity,Bad,Brown,Brown,Male,,7.0,1996-02-01,1996.0,marvel
11186,Ebony (Heroes Reborn) (Earth-616),Public Identity,Good,,,Male,,7.0,1996-11-01,1996.0,marvel
11187,James Johnsmeyer (Earth-616),Public Identity,,Brown,Blond,Male,,7.0,1996-02-01,1996.0,marvel
11188,Jasper Sitwell (Heroes Reborn) (Earth-616),,,,,Male,,7.0,1996-11-01,1996.0,marvel
11189,Kymberly Taylor (Earth-616),,Good,,Red,Female,,7.0,1996-10-01,1996.0,marvel
11190,Lasher (Cell-12) (Earth-616),Secret Identity,Bad,,Brown,Male,,7.0,1996-05-01,1996.0,marvel
11191,Nardi (Earth-616),Secret Identity,Bad,,,Male,,7.0,1996-05-01,1996.0,marvel
11192,Skritch (Earth-616),,Bad,,,Female,,7.0,1996-09-01,1996.0,marvel
11193,Tar (Earth-616),Secret Identity,,,,Male,,7.0,1996-02-01,1996.0,marvel
11194,Andrea Janson (Earth-616),,Bad,Brown,,Female,,7.0,1997-02-01,1997.0,marvel
11195,Boris Lubov (Earth-616),Secret Identity,Bad,,Black,Male,,7.0,1997-09-01,1997.0,marvel
11196,Dorian (Punk Kid) (Earth-616),Public Identity,Bad,,Brown,Male,,7.0,1997-12-01,1997.0,marvel
11197,Feuer (Earth-616),Public Identity,Good,Brown,Bald,Male,,7.0,1997-07-01,1997.0,marvel
11198,Heinrich Zemo (Heroes Reborn) (Earth-616),Public Identity,Bad,,,Male,,7.0,1997-04-01,1997.0,marvel
11199,Ivan Pushkin (Earth-616),Secret Identity,Bad,,Black,Male,,7.0,1997-09-01,1997.0,marvel
11200,Ko Bin Su (Earth-616),,,Brown,Black,Male,,7.0,1997-09-01,1997.0,marvel
11201,Niral Chandra (Earth-616),Secret Identity,Neutral,,Black,Female,,7.0,1997-08-01,1997.0,marvel
11202,Tracey Authier (Earth-616),Public Identity,,,Brown,Female,,7.0,1997-12-01,1997.0,marvel
11203,Weasel (Punk Kid) (Earth-616),Public Identity,Bad,,Blond,Male,,7.0,1997-12-01,1997.0,marvel
11204,Baby Karen (Earth-616),,,,,Female,,7.0,1998-11-01,1998.0,marvel
11205,Dinu (Earth-616),Public Identity,Neutral,Brown,Bald,Male,,7.0,1998-12-01,1998.0,marvel
11206,Hames (Earth-616),,,,,Male,,7.0,1998-09-01,1998.0,marvel
11207,Mac Garrity (Earth-616),Secret Identity,Bad,Yellow,Black,Male,,7.0,1998-12-01,1998.0,marvel
11208,Miles Warton (Earth-616),,,,,Male,,7.0,1998-06-01,1998.0,marvel
11209,Mister Gentry (Earth-616),Public Identity,Good,,Black,Male,,7.0,1998-09-01,1998.0,marvel
11210,Olivier (Earth-616),Secret Identity,Bad,Yellow,Black,Male,,7.0,1998-11-01,1998.0,marvel
11211,Richard Dennison (Earth-616),Secret Identity,Bad,Orange,No,Male,,7.0,1998-05-01,1998.0,marvel
11212,Bridget Malone (Earth-616),Secret Identity,Bad,Blue,Blond,Female,,7.0,1999-11-01,1999.0,marvel
11213,Christopher Aaronson (Earth-616),Secret Identity,Bad,Brown,Bald,Male,,7.0,1999-02-01,1999.0,marvel
11214,Elejea (Earth-616),Secret Identity,Good,Yellow,Black,Female,,7.0,1999-03-01,1999.0,marvel
11215,Mikado (Earth-616),Secret Identity,Good,,Black,Female,,7.0,1999-12-01,1999.0,marvel
11216,Mosha (Earth-616),Secret Identity,Good,Brown,Black,Female,,7.0,1999-12-01,1999.0,marvel
11217,Tarakis (Earth-616),,Bad,Brown,Black,Male,,7.0,1999-09-01,1999.0,marvel
11218,Zoe Ishihara (Earth-616),Secret Identity,Neutral,Black,Black,Female,,7.0,1999-05-01,1999.0,marvel
11219,Balin (Earth-616),Public Identity,Good,Blue,Black,Male,,7.0,2000-10-01,2000.0,marvel
11220,Domina (Earth-616),Secret Identity,Bad,Silver,Purple,Female,,7.0,2000-04-01,2000.0,marvel
11221,Junzo Muto (Earth-616),Public Identity,Bad,,Black,Male,,7.0,2000-02-01,2000.0,marvel
11222,Mr. Payback (Earth-616),Secret Identity,Good,Blue,,Male,,7.0,2000-08-01,2000.0,marvel
11223,Order (Heroes Reborn) (Earth-616),,Good,,,Female,,7.0,2000-01-01,2000.0,marvel
11224,Rax (Earth-616),Secret Identity,Neutral,,Blond,Male,,7.0,2000-05-01,2000.0,marvel
11225,Rhanla (Earth-616),Public Identity,Good,,Pink,Female,,7.0,2000-10-01,2000.0,marvel
11226,Sam Matonabbe (Earth-616),Secret Identity,Good,,Black,Male,,7.0,2000-11-01,2000.0,marvel
11227,Val (Earth-616),Public Identity,Good,Blue,Brown,Male,,7.0,2000-10-01,2000.0,marvel
11228,Coach (Earth-616),Secret Identity,Bad,Red,White,Male,,7.0,2001-07-01,2001.0,marvel
11229,Fagin (Earth-616),Secret Identity,Neutral,,Brown,Male,,7.0,2001-07-01,2001.0,marvel
11230,Kyle Jacoby (Earth-616),,Good,Brown,,Male,,7.0,2001-06-01,2001.0,marvel
11231,Leyu Yoshida (Earth-616),Public Identity,Good,Brown,Black,Female,,7.0,2001-05-01,2001.0,marvel
11232,Maria Cortez (Earth-616),Public Identity,Good,Blue,Blond,Female,,7.0,2001-07-01,2001.0,marvel
11233,Marshal (Earth-616),Secret Identity,Bad,,Black,Male,,7.0,2001-08-01,2001.0,marvel
11234,Nightingale (Earth-616),Secret Identity,Good,Yellow,Bald,Female,,7.0,2001-01-01,2001.0,marvel
11235,Raptra (Earth-616),Secret Identity,,Yellow,No,Female,,7.0,2001-12-01,2001.0,marvel
11236,Alice Tremaine (Earth-616),No Dual Identity,Bad,Black,Black,Female,,7.0,2002-12-01,2002.0,marvel
11237,Mary Zero (Mary) (Earth-616),Secret Identity,,Brown,Black,Female,,7.0,2002-11-01,2002.0,marvel
11238,Michael Hart (Earth-616),Secret Identity,Neutral,Black,Bald,Male,,7.0,2002-06-01,2002.0,marvel
11239,Moving Shadow (Earth-616),,Bad,,,Male,,7.0,2002-11-01,2002.0,marvel
11240,Brian Rinehart (Earth-616),Secret Identity,Good,Brown,Blond,Male,,7.0,2003-12-01,2003.0,marvel
11241,Christian Frost (Earth-616),Secret Identity,Neutral,Blue,Blond,Male,Homosexual,7.0,2003-06-01,2003.0,marvel
11242,Harald Jaekelsson (Earth-616),Public Identity,Bad,Brown,Black,Male,,7.0,2003-09-01,2003.0,marvel
11243,Kiwi Black (Earth-616),Secret Identity,Neutral,Red,Black,Male,,7.0,2003-10-01,2003.0,marvel
11244,Maximus Lobo (Earth-616),Secret Identity,Bad,Blue,Grey,Male,,7.0,2003-03-01,2003.0,marvel
11245,Nick Nixon (Earth-616),Public Identity,,Brown,Brown,Male,,7.0,2003-11-01,2003.0,marvel
11246,Alexander Bont (Earth-616),Secret Identity,Bad,Black,Grey,Male,,7.0,2004-12-01,2004.0,marvel
11247,Clay (Earth-616),Secret Identity,Bad,White,White,Male,,7.0,2004-12-01,2004.0,marvel
11248,Cole (Omega Core) (Earth-616),Public Identity,Good,,Brown,Male,,7.0,2004-05-01,2004.0,marvel
11249,James Westbrook (Earth-616),,Neutral,,Grey,Male,,7.0,2004-07-01,2004.0,marvel
11250,Jennifer Leigh (Earth-616),No Dual Identity,Neutral,Blue,Blond,Female,,7.0,2004-03-01,2004.0,marvel
11251,Martin Leigh (Earth-616),No Dual Identity,Neutral,Blue,Blond,Male,,7.0,2004-03-01,2004.0,marvel
11252,Nestor Rodriguez (Earth-616),Secret Identity,,,Black,Male,,7.0,2004-06-01,2004.0,marvel
11253,Purge (Genoshan) (Earth-616),,Good,,Blond,Male,,7.0,2004-09-01,2004.0,marvel
11254,Trolls (Earth-616),,Bad,,,,,7.0,2004-11-01,2004.0,marvel
11255,Whiz Kid (Earth-616),Public Identity,Good,Brown,Black,Female,,7.0,2004-08-01,2004.0,marvel
11256,Azzuri (Earth-616),,Good,,Black,Male,,7.0,2005-04-01,2005.0,marvel
11257,Blindspot (Earth-616),Secret Identity,Bad,Blue,Black,Female,,7.0,2005-03-01,2005.0,marvel
11258,Cornelius Worth (Earth-616),Public Identity,Neutral,Brown,Grey,Male,,7.0,2005-11-01,2005.0,marvel
11259,Deborah Kinney (Earth-616),Secret Identity,Neutral,Green,Black,Female,,7.0,2005-03-01,2005.0,marvel
11260,Gwen (Daydream) (Earth-616),,,Green,Green,Female,,7.0,2005-03-01,2005.0,marvel
11261,Jeff Kaplan (Earth-616),Public Identity,Good,Brown,Brown,Male,,7.0,2005-10-01,2005.0,marvel
11262,Mallen (Earth-616),Secret Identity,Bad,Brown,Brown,Male,,7.0,2005-01-01,2005.0,marvel
11263,Mana Yanowa (Earth-616),No Dual Identity,,Brown,Black,Female,,7.0,2005-05-01,2005.0,marvel
11264,Nemesio Pietri (Earth-616),Public Identity,Neutral,,Black,Male,,7.0,2005-01-01,2005.0,marvel
11265,Paul Patterson (Earth-616),,Bad,,,Male,,7.0,2005-01-01,2005.0,marvel
11266,Peggy Rae (Earth-616),Public Identity,Neutral,,Blond,Female,,7.0,2005-10-01,2005.0,marvel
11267,Ricky Calusky (Earth-616),Secret Identity,Bad,Blue,Blond,Male,,7.0,2005-04-01,2005.0,marvel
11268,Ruth (Angel) (Earth-616),Secret Identity,Bad,,Black,Female,,7.0,2005-11-01,2005.0,marvel
11269,Stem Cell (Earth-616),Secret Identity,Good,Red,Blond,Female,,7.0,2005-04-01,2005.0,marvel
11270,Colony (Earth-616),Secret Identity,Bad,,,,,7.0,2006-02-01,2006.0,marvel
11271,Devo (Earth-616),Secret Identity,Bad,,Bald,Male,,7.0,2006-02-01,2006.0,marvel
11272,Monstro (Earth-616),,,Brown,Grey,Male,,7.0,2006-01-01,2006.0,marvel
11273,Otis Johnson II (Earth-616),Public Identity,Good,,,Male,,7.0,2006-04-01,2006.0,marvel
11274,Sega (Earth-616),Secret Identity,Bad,,,Male,,7.0,2006-02-01,2006.0,marvel
11275,Theodore Scott (Earth-616),,Bad,,,Male,,7.0,2006-09-01,2006.0,marvel
11276,Zhib-Ran (Earth-616),,,Blue,Red,Male,,7.0,2006-02-01,2006.0,marvel
11277,Abigail Dunton (Earth-616),Secret Identity,Good,,Black,Female,,7.0,2007-06-01,2007.0,marvel
11278,Brett Mahoney (Earth-616),Public Identity,Good,Brown,Bald,Male,,7.0,2007-11-01,2007.0,marvel
11279,Brian van Patrick (Earth-616),Public Identity,,,,Male,,7.0,2007-06-01,2007.0,marvel
11280,Ladyfair (Earth-616),Secret Identity,Good,Brown,Black,Female,,7.0,2007-02-01,2007.0,marvel
11281,Michael van Patrick (Van) (Earth-616),Secret Identity,Good,Blue,Brown,Male,,7.0,2007-08-01,2007.0,marvel
11282,Oliver Orwell (Earth-616),Secret Identity,Good,,,Male,,7.0,2007-01-01,2007.0,marvel
11283,Richard Palance (Earth-616),Secret Identity,Bad,Blue,Black,Male,,7.0,2007-02-01,2007.0,marvel
11284,Deacon (Earth-616),Public Identity,Bad,,Brown,Male,,7.0,2008-08-01,2008.0,marvel
11285,Geldoff (Earth-616),Secret Identity,Good,Brown,Brown,Male,,7.0,2008-02-01,2008.0,marvel
11286,Gordon Wright (Earth-616),Public Identity,Bad,,Grey,Male,,7.0,2008-04-01,2008.0,marvel
11287,John Hashimoto (Earth-616),Secret Identity,Good,Brown,Black,Male,,7.0,2008-10-01,2008.0,marvel
11288,Leon Nunez (Earth-616),Secret Identity,Neutral,Blue,Black,Male,,7.0,2008-06-01,2008.0,marvel
11289,Melee (Earth-616),Secret Identity,Good,,Brown,Female,,7.0,2008-02-01,2008.0,marvel
11290,Michael van Patrick (Clone) (Earth-616),Secret Identity,Good,Blue,Brown,Male,,7.0,2008-05-01,2008.0,marvel
11291,Quentin Palone (Earth-616),Public Identity,,,Black,Male,,7.0,2008-03-01,2008.0,marvel
11292,Val Rhymin (Earth-616),Public Identity,Bad,,Black,Male,,7.0,2008-10-01,2008.0,marvel
11293,Amanda Reilly (Earth-616),No Dual Identity,Good,,Blond,Female,,7.0,2009-09-01,2009.0,marvel
11294,Amy Reilly (Earth-616),No Dual Identity,Good,,Black,Female,,7.0,2009-09-01,2009.0,marvel
11295,Aneka (Earth-616),Secret Identity,Good,,Bald,Female,,7.0,2009-11-01,2009.0,marvel
11296,Anton Satan (Earth-616),Secret Identity,Bad,Black,Black,Male,,7.0,2009-10-01,2009.0,marvel
11297,Burst (Earth-616),Secret Identity,Bad,Brown,Black,Male,,7.0,2009-11-01,2009.0,marvel
11298,Damon Ryder (Earth-616),Secret Identity,Bad,Brown,Red,Male,,7.0,2009-09-01,2009.0,marvel
11299,Lindy Nolan (Earth-616),,Good,,Blond,Female,,7.0,2009-04-01,2009.0,marvel
11300,Razor (Raptor) (Earth-616),Secret Identity,Bad,Red,,,,7.0,2009-06-01,2009.0,marvel
11301,Tre Owens (Earth-616),Secret Identity,Good,Brown,Bald,Male,,7.0,2009-04-01,2009.0,marvel
11302,Zakar (Earth-616),Public Identity,Good,,Black,Male,,7.0,2009-11-01,2009.0,marvel
11303,Aloysius Thorndrake (Earth-616),Secret Identity,Bad,,Grey,Male,,7.0,2010-09-01,2010.0,marvel
11304,Brianna Robbins (Earth-616),Public Identity,Neutral,Brown,Brown,Female,,7.0,2010-06-01,2010.0,marvel
11305,Cannon Foot (Earth-616),Secret Identity,Bad,Brown,Brown,Male,,7.0,2010-11-01,2010.0,marvel
11306,Dara Ko Eke (Earth-616),Secret Identity,Good,Green,Brown,Female,,7.0,2010-06-01,2010.0,marvel
11307,Ellis Love (Earth-616),Secret Identity,Good,,Black,Female,,7.0,2010-08-01,2010.0,marvel
11308,Els Udonta (Earth-616),Secret Identity,Good,Blue,No,Female,,7.0,2010-06-01,2010.0,marvel
11309,Galina Nemirovsky (Earth-616),Secret Identity,Bad,Brown,Black,Female,,7.0,2010-02-01,2010.0,marvel
11310,Nurse Fester (Earth-616),,Bad,Blue,Blond,Female,,7.0,2010-02-01,2010.0,marvel
11311,Saw Fist (Earth-616),Secret Identity,Bad,Brown,Black,Male,,7.0,2010-11-01,2010.0,marvel
11312,Selach (Earth-616),Public Identity,Neutral,,Black,Male,,7.0,2010-11-01,2010.0,marvel
11313,Shadowstalker (Earth-616),Secret Identity,Bad,Purple,Black,Female,,7.0,2010-11-01,2010.0,marvel
11314,Stanley Osborn (Earth-616),No Dual Identity,Neutral,,Red,Male,,7.0,2010-11-01,2010.0,marvel
11315,Voorr (Earth-616),Secret Identity,Good,,No,Male,,7.0,2010-06-01,2010.0,marvel
11316,Adam (Earth-616),Secret Identity,Bad,Grey,Black,Male,,7.0,2011-08-01,2011.0,marvel
11317,Aradnea (Earth-616),,Bad,,Black,Female,,7.0,2011-08-01,2011.0,marvel
11318,Bruiser (Mercenary) (Earth-616),Secret Identity,Bad,,,Male,,7.0,2011-12-01,2011.0,marvel
11319,Jeremy Briggs (Earth-616),Public Identity,Bad,Brown,Brown,Male,,7.0,2011-08-01,2011.0,marvel
11320,Marcus Roston (Earth-616),Secret Identity,Bad,Green,Black,Male,Homosexual,7.0,2011-08-01,2011.0,marvel
11321,Nul (Earth-616),No Dual Identity,Bad,White,Bald,Male,,7.0,2011-07-01,2011.0,marvel
11322,Omegex (Earth-616),Secret Identity,Bad,,,Male,,7.0,2011-03-01,2011.0,marvel
11323,Radioactive Kid (Earth-616),Secret Identity,Bad,White,No,Male,,7.0,2011-09-01,2011.0,marvel
11324,Seeker (Earth-616),Public Identity,Neutral,Black,Black,Male,,7.0,2011-09-01,2011.0,marvel
11325,Stephanie Gerard (Earth-616),,Bad,Blue,,Female,,7.0,2011-10-01,2011.0,marvel
11326,Dancing Water (Earth-616),Secret Identity,Bad,White,Blue,Female,,7.0,2012-12-01,2012.0,marvel
11327,Doyle (Earth-616),Public Identity,,Brown,Black,Male,,7.0,2012-03-01,2012.0,marvel
11328,Helen Cobb (Earth-616),Public Identity,Good,Blue,Blond,Female,,7.0,2012-09-01,2012.0,marvel
11329,Marin (Earth-616),Public Identity,,,Black,Male,,7.0,2012-03-01,2012.0,marvel
11330,Omega Black (Earth-616),Secret Identity,Bad,Brown,Black,Female,,7.0,2012-07-01,2012.0,marvel
11331,Charlie Cluster-7 (Weapon XIII) (Earth-616),Secret Identity,Bad,Blue,Black,Male,,7.0,2013-02-01,2013.0,marvel
11332,Owen Backes (Earth-616),Secret Identity,Neutral,Brown,Blond,Male,,7.0,2013-03-01,2013.0,marvel
11333,Principal Philbin (Earth-616),,Good,Blue,Bald,Male,,7.0,2013-04-01,2013.0,marvel
11334,Sojobo-Tengu (Earth-616),Secret Identity,Neutral,Black,Black,Male,,7.0,2013-01-01,2013.0,marvel
11335,The Origamist (Legion Personality) (Earth-616),Secret Identity,Neutral,Black,Black,Male,,7.0,2013-02-01,2013.0,marvel
11336,The Philistine (Earth-616),Secret Identity,Bad,Blue,Blond,Male,,7.0,2013-01-01,2013.0,marvel
11337,Edward Marks (Earth-616),Public Identity,Good,,,Male,,7.0,,,marvel
11338,Isparana (Earth-616),Public Identity,,Black,Black,Female,,7.0,,,marvel
11339,Kindra (Earth-616),,Good,,Blond,Female,,7.0,,,marvel
11340,Meltdown (Russian) (Earth-616),Secret Identity,Bad,,,Male,,7.0,,,marvel
11341,Mist (Earth-616),Secret Identity,Good,,Blond,Female,,7.0,,,marvel
11342,Thunder (Two-Gun Kid) (Earth-616),,Good,,,,,7.0,,,marvel
11343,Adolf Impossible (Earth-616),No Dual Identity,Good,Black,No,Male,,7.0,,,marvel
11344,Arkea (Earth-616),Secret Identity,Bad,Variable,Variable,Female,,7.0,,,marvel
11345,Bartol Utler (Earth-616),Secret Identity,Bad,Blue,Brown,Male,,7.0,,,marvel
11346,Disha Khan (Earth-616),Public Identity,Neutral,Brown,Brown,Female,,7.0,,,marvel
11347,Fuel (Earth-616),Secret Identity,Neutral,Grey,Black,Male,,7.0,,,marvel
11348,Karl Moffet (Earth-616),,Bad,Blue,Black,Male,,7.0,,,marvel
11349,Mark Sim (Earth-616),Secret Identity,Good,Blue,Black,Male,,7.0,,,marvel
11350,Mysterion (Earth-616),Secret Identity,Bad,Brown,Black,Male,,7.0,,,marvel
11351,Nikoleta Harrow (Earth-616),No Dual Identity,Bad,Blue,Black,Female,,7.0,,,marvel
11352,Rosalind Solomon (Earth-616),No Dual Identity,Good,Blue,Brown,Female,,7.0,,,marvel
